,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Hot Stuff,Hot Stuff,Donna Summer,18-09-20,199007,73,0.681,0.019,0.681,0.773,1.28E-06,0.11,-5.749,0.148,119.961,4
1,"Hot Stuff - 12"" Version",Bad Girls (Deluxe Edition),Donna Summer,25-04-79,407053,68,0.796,0.00475,0.796,0.892,0.0187,0.0717,-8.31,0.0333,120.4,4
2,Hot Stuff,Bad Girls,Donna Summer,25-04-79,314760,64,0.823,0.00559,0.823,0.743,0.0306,0.0707,-13.98,0.0316,120.471,4
3,"I Feel Love - 12"" Version",Bad Girls (Deluxe Edition),Donna Summer,25-04-79,495186,64,0.692,0.074,0.692,0.79,0.711,0.101,-14.065,0.0416,128.13,4
4,Last Dance - Single Version,Walk Away - Collector's Edition The Best Of 1977-1980,Donna Summer,08-09-80,199800,62,0.341,0.131,0.341,0.721,0.00029,0.216,-10.311,0.0801,126.351,4
5,Bad Girls,Bad Girls,Donna Summer,25-04-79,295106,61,0.857,0.00387,0.857,0.7,0.0164,0.411,-14.506,0.0358,120.529,4
6,On The Radio,On The Radio: Greatest Hits Volumes I & II,Donna Summer,15-10-79,241506,60,0.734,0.113,0.734,0.45,1.13E-05,0.296,-13.92,0.035,127.46,4
7,She Works Hard For The Money,She Works Hard For The Money,Donna Summer,01-01-83,320840,60,0.758,0.00486,0.758,0.638,0.0141,0.0938,-13.01,0.0378,136.502,4
8,Hot Stuff - Single Version,Walk Away - Collector's Edition The Best Of 1977-1980,Donna Summer,08-09-80,225666,56,0.817,0.00494,0.817,0.697,0.0254,0.064,-12.445,0.0323,120.954,4
9,Last Dance,On The Radio: Greatest Hits Volumes I & II,Donna Summer,15-10-79,296506,53,0.605,0.121,0.605,0.612,0.00236,0.22,-13.399,0.0439,125.37,4
10,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,20-11-20,196213,79,0.601,0.175,0.601,0.703,8.40E-05,0.571,-6.24,0.0379,106.164,4
11,Stayin Alive,How Can You Mend A Broken Heart,Bee Gees,20-11-20,285373,77,0.702,0.0288,0.702,0.773,0.00871,0.147,-9.256,0.0343,103.564,4
12,"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,20-11-20,241093,73,0.594,0.076,0.594,0.5,9.86E-05,0.184,-5.586,0.0255,104.996,4
13,"Night Fever - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,20-11-20,212800,72,0.726,0.0178,0.726,0.779,0.00178,0.104,-7.057,0.0251,109.133,4
14,Stayin' Alive,Staying Alive (Original Motion Picture Soundtrack),Bee Gees,13-12-77,92866,70,0.707,0.113,0.707,0.535,0.00615,0.0884,-19.793,0.0436,103.644,4
15,"You Should Be Dancing - Edit / From ""Saturday Night Fever"" Soundtrack",Children Of The World,Bee Gees,01-01-76,256493,68,0.681,0.0182,0.681,0.716,0.17,0.337,-10.911,0.0333,123.009,4
16,To Love Somebody,Bee Gees' 1st,Bee Gees,14-07-67,182000,68,0.423,0.729,0.423,0.384,4.11E-06,0.27,-12.503,0.0315,90.43,4
17,Too Much Heaven,Spirits Having Flown,Bee Gees,05-02-79,296000,68,0.495,0.44,0.495,0.439,8.88E-05,0.725,-13.212,0.0467,165.922,4
18,I Started A Joke,Idea (Deluxe Edition),Bee Gees,11-08-68,188306,67,0.31,0.156,0.31,0.464,8.94E-06,0.132,-8.755,0.0275,144.775,4
19,Tragedy,Spirits Having Flown,Bee Gees,05-02-79,303333,65,0.665,0.0889,0.665,0.532,0.0109,0.296,-10.793,0.0277,117.955,4
20,I Will Survive - Single Version,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,Gloria Gaynor,01-01-00,198066,72,0.777,0.0131,0.777,0.725,0.00805,0.246,-8.681,0.05,116.669,4
21,I Will Survive - 1981 Re-recording,I Will Survive,Gloria Gaynor,1981,261173,65,0.668,0.00293,0.668,0.678,0,0.265,-10.317,0.056,120.029,4
22,Can't Take My Eyes Off of You - Radio Edit,Can't Take My Eyes Off of You,Gloria Gaynor,2000,248026,58,0.732,0.237,0.732,0.949,0.000941,0.308,-4.406,0.0356,129.959,4
23,I Will Survive,Love Tracks,Gloria Gaynor,27-11-78,296106,58,0.77,0.0227,0.77,0.775,0.00262,0.297,-9.571,0.0495,116.935,4
24,I Am What I Am,Gloria Gaynor '90 (All New Versions),Gloria Gaynor,1990,207106,54,0.644,0.0663,0.644,0.619,0.000494,0.107,-14.015,0.0376,119.616,4
25,Never Can Say Goodbye - Single Version,Never Can Say Goodbye (Deluxe Edition),Gloria Gaynor,23-01-75,179466,52,0.611,0.000588,0.611,0.882,0.926,0.397,-3.18,0.028,125.681,4
26,Can't Take My Eyes Off of You - Black Box Mix,Gloria Gaynor '90 (All New Versions),Gloria Gaynor,1990,316000,51,0.719,0.0679,0.719,0.547,2.93E-06,0.229,-13.19,0.0362,121.724,4
27,I Will Survive,Big Hits,Gloria Gaynor,24-10-11,196600,41,0.644,0.0446,0.644,0.797,0,0.304,-6.723,0.043,119.293,4
28,The Eye of the Tiger,Gloria Gaynor,Gloria Gaynor,19-05-15,197026,48,0.786,0.474,0.786,0.602,1.56E-05,0.0914,-6.767,0.0453,109.231,4
29,Never Can Say Goodbye,Never Can Say Goodbye,Gloria Gaynor,23-01-75,378786,35,0.61,0.00788,0.61,0.893,0.541,0.923,-3.357,0.0299,126.741,4
30,Get Down On It,The Very Best Of Kool & The Gang (Reissue),Kool & The Gang,01-03-99,212906,74,0.879,0.205,0.879,0.626,6.07E-05,0.056,-6.344,0.0604,110.864,4
31,Celebration,Celebrate!,Kool & The Gang,29-09-80,298866,69,0.885,0.145,0.885,0.664,0.0483,0.0767,-11.795,0.0524,121.632,4
32,Celebration - Single Version,Celebration / Morning Star,Kool & The Gang,01-01-09,215653,67,0.843,0.0466,0.843,0.656,0.0187,0.169,-11.184,0.0595,121.112,4
33,Cherish,The Very Best Of Kool & The Gang (Reissue),Kool & The Gang,01-03-99,238933,64,0.639,0.331,0.639,0.596,0,0.296,-8.145,0.0225,95.186,4
34,Jungle Boogie,Wild And Peaceful,Kool & The Gang,1973-09,186533,64,0.808,0.115,0.808,0.85,0.000109,0.316,-8.772,0.0868,106.855,4
35,Fresh,Emergency (Reissue),Kool & The Gang,15-11-84,266560,63,0.838,0.00912,0.838,0.381,0.0988,0.0364,-16.867,0.0351,117.708,4
36,Hollywood Swinging,Wild And Peaceful,Kool & The Gang,1973-09,279933,58,0.623,0.0195,0.623,0.824,0.13,0.0491,-8.971,0.0479,111.356,4
